domain,requestor,name,tool_type,discoverable,argument_count,arguments,docstring_words,source_file
airline,assistant,update_reservation_passengers,write,False,2,reservation_id|passengers,46,benchmarks/tau2-bench/src/tau2/domains/airline/tools.py
retail,assistant,calculate,generic,False,1,expression,46,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,cancel_pending_order,write,False,2,order_id|reason,137,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,exchange_delivered_order_items,write,False,4,order_id|item_ids|new_item_ids|payment_method_id,210,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,find_user_id_by_email,read,False,1,email,47,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,find_user_id_by_name_zip,read,False,3,first_name|last_name|zip,98,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,get_item_details,read,False,1,item_id,39,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,get_order_details,read,False,1,order_id,43,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,get_product_details,read,False,1,product_id,39,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,get_user_details,read,False,1,user_id,30,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,list_all_product_types,read,False,0,,50,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,modify_pending_order_address,write,False,7,order_id|address1|address2|city|state|country|zip,114,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,modify_pending_order_items,write,False,4,order_id|item_ids|new_item_ids|payment_method_id,206,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,modify_pending_order_payment,write,False,2,order_id|payment_method_id,125,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,modify_user_address,write,False,7,user_id|address1|address2|city|state|country|zip,99,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,return_delivered_order_items,write,False,3,order_id|item_ids|payment_method_id,161,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
retail,assistant,transfer_to_human_agents,generic,False,1,summary,61,benchmarks/tau2-bench/src/tau2/domains/retail/tools.py
telecom,assistant,disable_roaming,write,False,2,customer_id|line_id,41,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,enable_roaming,write,False,2,customer_id|line_id,41,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,get_bills_for_customer,read,False,2,customer_id|limit,42,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,get_customer_by_id,read,False,1,customer_id,23,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,get_customer_by_name,read,False,2,full_name|dob,42,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,get_customer_by_phone,read,False,1,phone_number,26,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,get_data_usage,read,False,2,customer_id|line_id,52,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,get_details_by_id,read,False,1,id,53,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,refuel_data,write,False,3,customer_id|line_id|gb_amount,89,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,resume_line,write,False,2,customer_id|line_id,66,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,send_payment_request,write,False,2,customer_id|bill_id,110,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,suspend_line,write,False,3,customer_id|line_id|reason,67,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,assistant,transfer_to_human_agents,generic,False,1,summary,61,benchmarks/tau2-bench/src/tau2/domains/telecom/tools.py
telecom,user,can_send_mms,read,False,0,,10,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_apn_settings,read,False,0,,26,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_app_permissions,read,False,1,app_name,21,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_app_status,read,False,1,app_name,15,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_data_restriction_status,read,False,0,,16,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_installed_apps,read,False,0,,10,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_network_mode_preference,read,False,0,,6,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_network_status,read,False,0,,29,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_payment_request,read,False,0,,10,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_sim_status,read,False,0,,28,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_status_bar,read,False,0,,35,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_vpn_status,read,False,0,,23,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_wifi_calling_status,read,False,0,,28,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,check_wifi_status,read,False,0,,22,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,connect_vpn,write,False,0,,7,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,disconnect_vpn,write,False,0,,26,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,grant_app_permission,write,False,2,app_name|permission,42,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,make_payment,write,False,0,,12,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,reboot_device,write,False,0,,19,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,reseat_sim_card,write,False,0,,13,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,reset_apn_settings,write,False,0,,8,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,run_speed_test,read,False,0,,19,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,set_apn_settings,write,False,1,apn_settings,7,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,set_network_mode_preference,write,False,1,mode,27,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,toggle_airplane_mode,write,False,0,,24,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,toggle_data,write,False,0,,30,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,toggle_data_saver_mode,write,False,0,,25,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,toggle_roaming,write,False,0,,26,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,toggle_wifi,write,False,0,,27,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
telecom,user,toggle_wifi_calling,write,False,0,,37,benchmarks/tau2-bench/src/tau2/domains/telecom/user_tools.py
banking_knowledge,assistant,activate_debit_card_8291,write,True,5,card_id|last_4_digits|expiration_date|cvv|pin,83,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,activate_debit_card_8292,write,True,5,card_id|last_4_digits|expiration_date|cvv|pin,82,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,activate_debit_card_8293,write,True,5,card_id|last_4_digits|expiration_date|cvv|pin,87,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,apply_checking_account_credit_5829,write,True,3,account_id|amount|credit_type,52,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,apply_credit_card_account_flag_6147,write,True,5,credit_card_account_id|user_id|flag_type|expiration_date|reason,100,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,apply_for_credit_card,write,False,4,card_type|customer_name|annual_income|rho_bank_subscription,26,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,apply_savings_account_credit_6831,write,True,3,account_id|amount|credit_type,66,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,apply_statement_credit_8472,write,True,4,user_id|credit_card_account_id|amount|reason,71,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,approve_credit_limit_increase_5847,write,True,3,credit_card_account_id|user_id|new_credit_limit,50,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,call_discoverable_agent_tool,write,False,2,agent_tool_name|arguments,63,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,call_discoverable_user_tool,write,False,2,discoverable_tool_name|arguments,90,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,change_debit_card_pin_6285,write,True,3,card_id|current_pin|new_pin,46,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,change_user_email,write,False,2,user_id|new_email,29,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,clear_debit_card_fraud_alert_4892,write,True,2,card_id|reason,49,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,close_bank_account_7392,write,True,3,account_id|reason|waive_early_closure_fee,42,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,close_credit_card_account_7834,write,True,2,credit_card_account_id|user_id,32,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,close_debit_card_4721,write,True,2,card_id|reason,33,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,deny_credit_limit_increase_5848,write,True,3,credit_card_account_id|user_id|denial_reason,55,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,deposit_check_3847,write,True,2,account_id|check_amount,60,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,emergency_credit_bureau_incident_transfer_1114,generic,True,0,,47,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,example_agent_tool_0000,write,True,0,,11,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,file_credit_card_transaction_dispute_4829,write,True,15,transaction_id|card_action|card_last_4_digits|full_name|user_id|phone|email|address|contacted_merchant|purchase_date|issue_noticed_date|dispute_reason|resolution_requested|eligible_for_provisional_credit|partial_refund_amount,205,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,file_debit_card_transaction_dispute_6281,write,True,17,transaction_id|account_id|card_id|user_id|dispute_category|transaction_date|discovery_date|disputed_amount|transaction_type|card_in_possession|pin_compromised|contacted_merchant|police_report_filed|written_statement_provided|provisional_credit_eligible|customer_max_liability_amount|card_action,286,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,freeze_debit_card_3892,write,True,1,card_id,25,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_all_user_accounts_by_user_id_3847,read,True,1,user_id,25,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_atm_deposit_images_8473,read,True,1,transaction_id,31,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_bank_account_transactions_9173,read,True,1,account_id,25,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_card_last_4_digits,read,True,1,credit_card_account_id,29,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_closure_reason_history_8293,read,True,1,credit_card_account_id,31,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_credit_card_accounts_by_user,read,False,1,user_id,39,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_credit_card_transactions_by_user,read,False,1,user_id,20,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_credit_limit_increase_history_4829,read,True,1,credit_card_account_id,42,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_current_time,read,False,0,,25,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_debit_cards_by_account_id_7823,read,True,1,account_id,36,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_debit_dispute_status_7483,read,True,1,user_id,47,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_payment_history_6183,read,True,2,credit_card_account_id|months,35,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_pending_replacement_orders_5765,read,True,1,credit_card_account_id,32,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_referral_link,write,True,2,user_id|card_name,59,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_referrals_by_user,read,False,1,user_id,20,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_user_dispute_history_7291,read,True,1,user_id,50,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_user_information_by_email,read,False,1,email,23,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_user_information_by_id,read,False,1,user_id,24,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,get_user_information_by_name,read,False,1,customer_name,25,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,give_discoverable_user_tool,generic,False,2,discoverable_tool_name|arguments,88,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,initial_transfer_to_human_agent_0218,generic,True,0,,33,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,initial_transfer_to_human_agent_1822,generic,True,0,,59,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,list_discoverable_agent_tools,read,False,0,,28,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,list_discoverable_user_tools,read,False,0,,36,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,log_credit_card_closure_reason_4521,write,True,3,credit_card_account_id|user_id|closure_reason,56,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,log_verification,write,False,7,name|user_id|address|email|phone_number|date_of_birth|time_verified,89,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,open_bank_account_4821,write,True,3,user_id|account_type|account_class,50,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,order_debit_card_5739,write,True,8,account_id|user_id|delivery_option|delivery_fee|card_design|design_fee|shipping_address|excess_replacement_fee,88,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,order_replacement_credit_card_7291,write,True,5,credit_card_account_id|user_id|shipping_address|reason|expedited_shipping,98,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,pay_credit_card_from_checking_9182,write,True,4,user_id|checking_account_id|credit_card_account_id|amount,88,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,request_human_agent_transfer,write,False,0,,43,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,request_temporary_debit_card_limit_increase_8374,write,True,3,card_id|limit_type|new_limit,59,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,reset_debit_card_pin_6284,write,True,3,card_id|last_4_digits|new_pin,49,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,set_debit_card_recurring_block_7382,write,True,2,card_id|block_recurring,53,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,submit_cash_back_dispute_0589,write,True,2,user_id|transaction_id,44,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,submit_credit_limit_increase_request_7392,write,True,3,credit_card_account_id|user_id|requested_increase_amount,55,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,submit_interest_discrepancy_report_7294,write,True,5,account_id|user_id|expected_apy|actual_apy|amount_difference,94,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,submit_referral,write,False,2,user_id|account_type,29,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,submit_transaction,write,False,5,user_id|credit_card_type|merchant_name|amount|category,51,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,transfer_funds_between_bank_accounts_7291,write,True,3,source_account_id|destination_account_id|amount,39,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,transfer_to_human_agents,generic,False,2,summary|reason,53,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,unfreeze_debit_card_3893,write,True,1,card_id,20,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,unlock_discoverable_agent_tool,generic,False,1,agent_tool_name,79,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
banking_knowledge,assistant,update_transaction_rewards_3847,write,True,2,transaction_id|new_rewards_earned,34,benchmarks/tau2-bench/src/tau2/domains/banking_knowledge/tools.py
